[ 23-03-30 20:23 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-30 20:23 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-30 20:23 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-30 20:23 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:29 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:29 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:29 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:29 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:29 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:30 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:30 == card From: 2585541741745566, card To: 3754567210826497, amount: 200, commission: 2, operation: successful transaction ]
[ 23-03-31 12:41 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:41 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:41 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:42 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:42 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:43 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:43 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:43 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:44 == card From: 1111111111111111, card To: 0000000000000000, amount: 1000, commission: 10, operation: failed transaction ]
[ 23-03-31 12:45 == card From: 2585541741745566, card To: 3754567210826497, amount: 1000, commission: 10, operation: successful transaction ]
[ 23-03-31 13:01 == card From: 2585541741745566, card To: 3754567210826497, amount: 10000, commission: 100, operation: successful transaction ]
[ 23-03-31 13:04 == card From: 2585541741745566, card To: 3754567210826497, amount: 20000, commission: 200, operation: successful transaction ]
[ 23-03-31 13:05 == card From: 2585541741745566, card To: 3754567210826497, amount: 30000, commission: 300, operation: successful transaction ]
